propertyName,country,commodity,typeOfWork,status,extentOfProcessing,bestReserveAvailable,reservesTonnes000Units,reserveGrade,reserveGradeUnit,currentProduction,currentProductionUnit,expectedYearlyProductionAtFullCapacity,expectedProductionAtFullCapacityUnit,lifeOfMineYears,projectInceptionYear,projectCompletionYear,companyName,expectedInvestmentMm,probabilityToMoveToInvestmentBy2020,powerSourcingArrangementOrRelationshipBetweenMineAndGrid,sourceOfPower,energyConsumptionKwhTProduct,annualEnergyConsumptionMwh,energyNeedsMw,shareholdingCode,mineLocation,locationNotes,region,tariffPublicUtility,costRelativity,gridEnergySource,gridReliability,source,notes,reference,projectsPre2000,projects20012012,projects2020,repeats
Lauzoua Mine,Ivory Coast,Manganese,Open-Pit,Producer,crushed,None,NA,40,%,15e4,tons,300000,tons,NA,2009,NA,"China National Geological And Mining (39'%), Societe Pour Le Development Minier De La Cote D'ivoire (51% )- 10% Private Interest",NA,high,Grid supply,On-Grid,16,4800,0.5,Joint- venture with State Equity,"(5.2666667, -5.5166667)",NA,WA,11.9,equal tariff,Mainly Gas Powered Generation,0 to 50 days,Infomine,NA,NA,No,Yes,Yes,TRUE
Kwale,Kenya,Rutile,Placer,Development,intermediate,Proven Reserves,38230,0.9,%,NA,NA,79000,tons,13,2013,2026,Base Resources (100%),275,high,Grid supply,On-Grid,2000,158000,16.46,Sole Ownership by a private company,"(-4.3666667, 39.4666667)",NA,EA,17,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,NA,"Infomine, Mining Weekly, http://www.miningweekly.com/article/170m-secured-for-kenya-mineral-sands-project-base-2011-07-27,    
http://www.miningweekly.com/article/australia-based-company-acquires-required-funding-to-begin-construction-for-kenyan-operations-2012-01-27,     
http://www.proactiveinvestors.com.au/companies/news/11138/base-resources-moves-kwale-mineral-sands-project-towards-enhanced-dfs-11138.html",No,No,Yes,TRUE
Kwale,Kenya,Ilmenite,Placer,Development,intermediate,Proven Reserves,38230,3.93,%,NA,NA,330000,tons,13,2013,2026,Base Resources (100%),275,high,Grid supply,On-Grid,2000,660000,68.75,Sole Ownership by a private company,"(-4.3666667, 39.4666667)",NA,EA,17,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,NA,"Infomine, Mining Weekly, http://www.miningweekly.com/article/170m-secured-for-kenya-mineral-sands-project-base-2011-07-27,    
http://www.miningweekly.com/article/australia-based-company-acquires-required-funding-to-begin-construction-for-kenyan-operations-2012-01-27,     
http://www.proactiveinvestors.com.au/companies/news/11138/base-resources-moves-kwale-mineral-sands-project-towards-enhanced-dfs-11138.html",No,No,Yes,TRUE
Kwale,Kenya,Zirconium,Placer,Development,intermediate,Proven Reserves,38230,0.5,%,NA,NA,30000,tons,13,2013,2026,Base Resources (100%),275,high,Grid supply,On-Grid,800,24000,2.5,Sole Ownership by a private company,"(-4.3666667, 39.4666667)",NA,EA,17,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,NA,"Infomine, Mining Weekly, http://www.miningweekly.com/article/170m-secured-for-kenya-mineral-sands-project-base-2011-07-27,    
http://www.miningweekly.com/article/australia-based-company-acquires-required-funding-to-begin-construction-for-kenyan-operations-2012-01-27,     
http://www.proactiveinvestors.com.au/companies/news/11138/base-resources-moves-kwale-mineral-sands-project-towards-enhanced-dfs-11138.html",No,No,Yes,TRUE
Ambatovy,Madagascar,Nickel,Surface,Development,intermediate,Proven Reserves,79300,1.03,%,NA,NA,60000,tons,30,2013,2043,"Korea Resources Corporation (20%), Sheritt International Corporation (40%), Sumitomo Corp (27.5%)",5500,high,Self-supply,On-site Coal,5600,336000,35,Join-venture with only private interests,"(-18.8333333, 48.35)",NA,SA,16.9,below tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"High pressure steam will be produced at the process plant by coal-fired boilers supplemented by steam produced in waste heat boilers in the sulphuric acid plants. There will be three coal-fired boilers and two sulphuric acid plant trains. The peak and average electrical power requirements for the process plant site of 81 MW and 65 MW, respectively, will be provided by three steam turbine generators.","Infomine, Company Website, http://www.ambatovy.com/docs/wp-content/uploads/factsheetVE3_Update04.11.pdf,     
http://www.cumminspower.com/www/literature/casehistories/F-2375-Ambatovy-Project-Madagascar-en.pdf",No,No,Yes,TRUE
Ambatovy,Madagascar,Cobalt,Surface,Development,intermediate,Proven Reserves,79300,0.08,%,NA,NA,5600,tons,30,2013,2043,"Korea Resources Corporation (20%), Sheritt International Corporation (40%), Sumitomo Corp (27.5%)",5500,high,Self-supply,On-site Coal,6500,36400,3.79,Join-venture with only private interests,"(-18.8333333, 48.35)",NA,SA,16.9,below tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"High pressure steam will be produced at the process plant by coal-fired boilers supplemented by steam produced in waste heat boilers in the sulphuric acid plants. There will be three coal-fired boilers and two sulphuric acid plant trains. The peak and average electrical power requirements for the process plant site of 81 MW and 65 MW, respectively, will be provided by three steam turbine generators.","Infomine, Company Website, http://www.ambatovy.com/docs/wp-content/uploads/factsheetVE3_Update04.11.pdf,     
http://www.cumminspower.com/www/literature/casehistories/F-2375-Ambatovy-Project-Madagascar-en.pdf",No,No,Yes,TRUE
Ranobe,Madagascar,Ilmenite,Open-Pit,Development,intermediate,Indicated Reserves,226000,6.12,%,NA,NA,407000,tons,21,2013,2034,World Titanium Resources (100%),192,high,Grid supply,On-Grid,2000,814000,84.79,Sole Ownership by a private company,NA,NA,SA,16.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,NA,http://www.worldtitaniumresources.com/files/WTR_Project_Newletter_11_June_2012.pdf,No,No,Yes,TRUE
Ranobe,Madagascar,Rutile,Open-Pit,Development,refined,Indicated Reserves,226000,6.12,%,NA,NA,44000,tons,21,2013,2034,World Titanium Resources (100%),192,high,Grid supply,On-Grid,9300,409200,42.63,Sole Ownership by a private company,NA,NA,SA,16.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,NA,"Infomine, Company Website, http://www.worldtitaniumresources.com/files/WTR_Project_Newletter_11_June_2012.pdf",No,No,Yes,TRUE
Kanyika,Malawi,Niobium,Surface,Feasibility,refined,Indicated Resource,18000,3100,parts per million,NA,NA,3000,tons,20,2015,2035,Globe Metals And Mining,272,high,Self-supply,On-site Diesel,4000,12000,1.25,Sole Ownership by a private company,"(-12.7166667, 33.7)",NA,SA,5,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,NA,NA,No,No,Yes,TRUE
Kanyika,Malawi,Tantalum,Surface,Feasibility,refined,Indicated Resource,18000,3100,parts per million,NA,NA,500,tons,20,2015,2035,Globe Metals And Mining,272,high,Self-supply,On-site Diesel,4000,2000,0.21,Sole Ownership by a private company,"(-12.7166667, 33.7)",NA,SA,5,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,NA,NA,No,No,Yes,TRUE
Rosh Pinah,Namibia,Lead,Underground,Producer,intermediate,Inferred Resources,6900,2.4,%,2e4,tons,20000,tons,52,1969,2021,"Glencore 80.08%; BEE 19,92%",250,high,Grid supply,On-Grid,855,17100,1.78,Join-venture with only private interests,"(-27.9333333, 16.7666667)",NA,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Company Website,NA,Company Website,Yes,Yes,Yes,TRUE
Rosh Pinah,Namibia,Zinc,Underground,Producer,intermediate,Inferred Resources,6900,9.19,%,94e3,tons,95000,tons,52,1969,2021,"Glencore 80.08%; BEE 19,92%",250,high,Grid supply,On-Grid,595,56525,5.89,Join-venture with only private interests,"(-27.9333333, 16.7666667)",NA,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,IM,NA,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Grande Cote (Gczp),Senegal,Ilmenite,Surface,Development,intermediate,Inferred Resources,310000,2,%,575e3,tons,575000,tons,25,2013,2038,Mineral Deposits Ltd. (100%),467,high,Grid supply,On-Grid,2000,1150000,119.79,Sole Ownership by a private company,"(13.1833333, -12.1)",NA,WA,23,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,NA,"Mining Weekly, http://womp-int.com/",No,No,Yes,TRUE
Grande Cote (Gczp),Senegal,Zirconium,Surface,Development,intermediate,Inferred Resources,310000,2,%,8e4,tons,80000,tons,25,2013,2038,Mineral Deposits Ltd. (100%),467,high,Grid supply,On-Grid,800,64000,6.67,Sole Ownership by a private company,"(13.1833333, -12.1)",NA,WA,23,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,NA,"Mining Weekly, http://womp-int.com/",No,No,Yes,TRUE
Grande Cote (Gczp),Senegal,Rutile,Surface,Development,refined,Inferred Resources,310000,2,%,6e3,tons,6000,tons,25,2013,2038,Mineral Deposits Ltd. (100%),467,high,Grid supply,On-Grid,9300,55800,5.81,Sole Ownership by a private company,"(13.1833333, -12.1)",NA,WA,23,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,NA,http://womp-int.com/,No,No,Yes,TRUE
Sierra Rutile,Sierra Leone,Zirconium,Open-Pit,Producer,intermediate,Indicated Reserves,436600,0.32,%,7092,tons,7092,tons,70,2015,2085,Sierra Rutile Limited 100%,284,high,Self-supply,On-site HFO,800,5674,0.59,Sole Ownership by a private company,"(7.7666667, -12.3)",NA,WA,28,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,A 23MW power plant (marine fuel oil),"Infomine, Company Website",No,No,Yes,TRUE
Sierra Rutile,Sierra Leone,Rutile,Open-Pit,Producer,intermediate,Proven Reserves,278244,1.43,%,68198,tons,200000,tons,70,1979,2049,Sierra Rutile Limited 100%,284,high,Self-supply,On-site HFO,2000,400000,41.67,Sole Ownership by a private company,"(7.7666667, -12.3)",NA,WA,28,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,USGS,A 23MW power plant (marine fuel oil),"USGS, Infomine, Annual report",Yes,Yes,Yes,TRUE
Sierra Rutile,Sierra Leone,Ilmenite,Open-Pit,Producer,intermediate,Indicated Reserves,436600,0.74,%,18206,tons,18206,tons,70,2014,2085,Sierra Rutile Limited 100%,284,high,Self-supply,On-site HFO,2000,36412,3.79,Sole Ownership by a private company,"(7.7666667, -12.3)",NA,WA,28,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,A 23MW power plant (marine fuel oil),"Infomine, Company Website",No,No,Yes,TRUE
Avontuur Manganese Project,South Africa,Manganese,Surface,Feasibility,crushed,Combined Resources,147800,38.2,%,NA,NA,1500000,tons,17,2015,2032,"Aquila Resources Ltd(74%), Bee (27%)",NA,high,Grid supply,On-Grid,16,24000,2.5,Join-venture with only private interests,NA,75 Km NW of KURUMAN,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",No,No,Yes,TRUE
Avontuur Manganese Project,South Africa,Iron Ore,Surface,Feasibility,crushed,Inferred Resources,34300,13,%,NA,NA,1455000,tons,17,2015,2032,"Aquila Resources Ltd (74%), Rakana (26%)",NA,high,Grid supply,On-Grid,20,29100,3.03,Join-venture with only private interests,NA,Near the towns of Kathu and Hotazel,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Power links are proximal,"Infomine, Company Website",No,No,Yes,TRUE
Bafokeng Rasimone,South Africa,Palladium,Underground,Producer,refined,Indicated Reserves,72400,12.13,grams,2143024,grams,65500,ounce,65,1997,2062,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",220,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",69489780,129035,13.44,Join-venture with only private interests,"(-25.4, 27.1)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes,TRUE
Bafokeng Rasimone,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,72400,12.13,grams,5741701,grams,165000,ounce,65,1997,2062,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",150,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",69489780,325050,33.86,Join-venture with only private interests,"(-25.4, 27.1)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes,TRUE
Bafokeng Rasimone,South Africa,Gold,Underground,Producer,refined,Indicated Reserves,72400,12.13,grams,5741701,grams,9311,ounce,65,1997,2062,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",220,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",45000000,11878,1.24,Join-venture with only private interests,"(-25.4, 27.1)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes,TRUE
Buffelsfontein/ Mws,South Africa,Gold,Tailings,Producer,refined,Proven Reserves,196003,0.28,grams,2524976,grams,107000,ounce,16,2010,2026,First Uranium Corp (100%),NA,high,Grid supply,On-Grid,25000000,77000,8.02,Sole Ownership by a private company,"(-26.9166667, 26.7833333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"First Uranium has started to install power generating plants at some of its mine sites in order to mitigate the risk of power interruptions from Eskom. For full production used 2012FY production value
","Infomine, Company Website",No,Yes,Yes,TRUE
Buffelsfontein/ Mws,South Africa,Uranium,Tailings,Producer,refined,Proven Reserves,196003,73,grams,1339e3,lb,1339000,lb,16,2010,2026,First Uranium Corp (100%),450,high,Grid supply,On-Grid,178000,108110,11.26,Sole Ownership by a private company,"(-26.9166667, 26.7833333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Company Website,"First Uranium has started to install power generating plants at some of its mine sites in order to mitigate the risk of power interruptions from Eskom
",Company Website,No,Yes,Yes,TRUE
Everest North/Vygenhoek,South Africa,Platinum,Underground,Temporary Suspension,refined,Indicated Reserves,5266,4.92,grams,1331474,grams,180000,ounce,15,2003,2018,Aquarius Platinum Ltd,NA,low,Grid supply,On-Grid,69489780,354600,36.94,Sole Ownership by a private company,"(-24.9833333, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Offtake agreement with Impala Refining Services. Full production of 5PGMs + Au,"Infomine, Company Website",No,Yes,Yes,TRUE
Everest North/Vygenhoek,South Africa,Chromium,Underground,Temporary Suspension,smelted,None,NA,NA,NA,59e3,tons,200000,tons,7,2010,2017,AQPSA 50% And Sylvania 50%,30,low,Grid supply,On-Grid,4640,26,0,Join-venture with only private interests,"(-24.7166667, 30.65)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,IM,NA,NA,No,Yes,Yes,TRUE
Ezulwini,South Africa,Uranium,Underground,Producer,refined,Inferred Resources,158771,0.08,%,43044,kilograms,2100000,lb,22,2008,2030,Gold One International Limited,280,high,Grid supply + self-supply backup,"On-Site Diesel, On-Grid",178000,169553,17.66,Sole Ownership by a private company,"(-26.3666667, 27.7166667)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Full production in 2019.In January 2008, Eskom said it could not guarantee power supplies, so by July 2008, agreements had been finalised to obtain 10MW diesel generators to supplement the power from Eskom and secure a steady supply of owner-generated electrical power, with a total capacity of 24MW, inclusive of 14MW of existing standby units at the mine","Infomine, Company Website (First Uranium), http://www.mining-technology.com/projects/ezulwini/",No,Yes,Yes,TRUE
Ezulwini,South Africa,Gold,Underground,Producer,refined,Inferred Resources,158771,5,grams,1003768,grams,309000,ounce,22,2008,2030,Gold One International Limited,NA,high,Grid supply + self-supply backup,"On-site Diesel, On-Grid",45000000,394200,41.06,Sole Ownership by a private company,"(-26.3666667, 27.7166667)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Full production in 2019.In January 2008, Eskom said it could not guarantee power supplies, so by July 2008, agreements had been finalised to obtain 10MW diesel generators to supplement the power from Eskom and secure a steady supply of owner-generated electrical power, with a total capacity of 24MW, inclusive of 14MW of existing standby units at the mine","Infomine, Company Website, (First Uranium),  http://www.mining-technology.com/projects/ezulwini/",No,Yes,Yes,TRUE
Impala Platinum Mine,South Africa,Palladium,Underground,Producer,refined,NA,NA,NA,NA,15878e3,grams,600000,ounce,70,1969,2039,Impala Platinum Holdings,NA,high,Grid supply,On-Grid,69489780,1182000,123.13,Sole Ownership by a private company,"(-25.55, 27.1833333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of palladium based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Impala Platinum Mine,South Africa,Rhodium,Underground,Producer,refined,NA,NA,NA,NA,3944e3,grams,150000,ounce,70,1969,2039,Impala Platinum Holdings,NA,high,Grid supply,On-Grid,69489780,295500,30.78,Sole Ownership by a private company,"(-25.55, 27.1833333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of rhodium based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Impala Platinum Mine,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,41240,6.48,grams,2762e4,grams,900000,ounce,70,1969,2039,Impala Platinum Holdings,NA,high,Grid supply,On-Grid,69489780,492500,51.3,Sole Ownership by a private company,"(-25.55, 27.1833333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of platinum based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Kroondal,South Africa,Platinum,Open-Pit/Underground,Producer,refined,None,NA,NA,NA,6138582,grams,200000,ounce,18,1999,2017,"Anglo American Platinum Ltd (50%), Aquarius Platinum (50%)",NA,closed by 2020,Grid supply,On-Grid,69489780,426667,44.44,Join-venture with only private interests,"(-25.7, 27.35)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Ooutsourcing of high-cost, high-risk smelting and refining operations have resulted in Kroondal's productivity levels ranking among the highest in the industry","Infomine, Company Website",Yes,Yes,No,TRUE
Kroondal,South Africa,Ruthenium,Open-Pit/Underground,Producer,refined,None,NA,NA,NA,1855105,grams,523000,ounce,18,1999,2017,"Anglo American Platinum Ltd (50%), Aquarius Platinum (50%)",NA,closed by 2020,Grid supply,On-Grid,69489780,1030310,107.32,Join-venture with only private interests,"(-25.7, 27.35)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",Yes,Yes,No,TRUE
Kroondal,South Africa,Chromium,Open-Pit/Underground,Producer,smelted,Proven Reserves,4676,30.58,%,154e3,tons,406000,tons,18,1999,2017,"Anglo American Platinum Ltd (50%), Aquarius Platinum Ltd (50%)",NA,closed by 2020,Grid supply,On-Grid,4640,1883840,196.23,Join-venture with only private interests,"(-25.7, 27.35)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Annual production capacity of 1,920kt ferrochrome alloy (FeCr) in the underground and 540 kt FeCr in the opencast mine. Outsourcing of high-cost, high-risk smelting and refining operations have resulted in Kroondal's productivity levels ranking among the highest in the industry","Infomine, Company Website",Yes,Yes,No,TRUE
Marikana - Lonmin,South Africa,PGM,Underground,Producer,smelted,Proven & Probable,293900,4.22,grams,760668,grams,450000,ounce,168,1969,2137,Lonmin,NA,high,Grid supply,On-Grid,65962380,826311,86.07,Sole Ownership by a private company,"(-25.7166667, 27.4333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production and Reserves are for all PGMs. In partnership with Eskom R150 million were invested. LOM calculated using Mineral Resources: 114.4Mt and Mineral Reserves: 37.4Mt in Sept 2011. US$18 million in energy saving projects; aiming to achieve an energy saving of 1.06 Giga Watt per hour (GWh) [across company]. Secure access to sufficient and reliable energy supply from Eskom to support operations and growth plans until at least 2017. Eexploring ways of diversifying electrical supply through the development of renewable projects and continuing to find new ways of improving efficiencies.,"Infomine, Company Website,  http://www.mineweb.com/mineweb/content/en/mineweb-company-releases?oid=59573&sn=Detail",Yes,Yes,Yes,TRUE
Marikana - Lonmin,South Africa,Platinum,Underground,Producer,smelted,Proven & Probable,293900,4.22,grams,1618624,grams,750000,ounce,168,1969,2137,Lonmin Plc.,NA,high,Grid supply,On-Grid,65962380,1402500,146.09,Sole Ownership by a private company,"(-25.7166667, 27.4333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production and Reserves are for all PGMs. In partnership with Eskom R150 million were invested. LOM calculated using Mineral Resources: 114.4Mt and Mineral Reserves: 37.4Mt in Sept 2011. US$18 million in energy saving projects; aiming to achieve an energy saving of 1.06 Giga Watt per hour (GWh) [across company]. Secure access to sufficient and reliable energy supply from Eskom to support operations and growth plans until at least 2017. Eexploring ways of diversifying electrical supply through the development of renewable projects and continuing to find new ways of improving efficiencies.,"Infomine, Company Website,  http://www.mineweb.com/mineweb/content/en/mineweb-company-releases?oid=59573&sn=Detail",Yes,Yes,Yes,TRUE
Namakwa Sands,South Africa,Rutile,Open-Pit,Producer,smelted,Proven Reserves,263350,2.14,%,28e3,tons,25000,tons,45,1994,2039,Exxaro Resources Limited,NA,high,Self-supply,Co-generation,4100,102500,10.68,Sole Ownership by a private company,"(-31.2833333, 17.9)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The construction of the 14MW co-generation power plant at Namakwa Sands commenced in the second quarter of 2012 (CW). The power plant would generate electricity from waste gas at the Namakwa Sands operation and the project would be funded from the group’s balance sheet. Phase 2 construction taken  in 1997 at investment of R1.2BN (exchange rate December 31, 2007:  4.8630 ZAR/USD).","Infomine, Mining Weekly, USGS, http://www.saimm.co.za/Conferences/HMC2009/009-016_Rosendaal.pdf",Yes,Yes,Yes,TRUE
Namakwa Sands,South Africa,Zirconium,Open-Pit,Producer,smelted,Proven Reserves,263350,8.3,%,128e3,tons,130000,tons,45,1994,2039,Exxaro Resources Limited,NA,high,Self-supply,Co-generation,54600,7098000,739.38,Sole Ownership by a private company,"(-31.2833333, 17.9)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The construction of the 14MW co-generation power plant at Namakwa Sands commenced in the second quarter of 2012 (CW). The power plant would generate electricity from waste gas at the Namakwa Sands operation and the project would be funded from the group’s balance sheet. Phase 2 construction taken  in 1997 at investment of R1.2BN (exchange rate December 31, 2007:  4.8630 ZAR/USD)","Infomine, Mining Weekly, USGS, http://www.saimm.co.za/Conferences/HMC2009/009-016_Rosendaal.pdf",Yes,Yes,Yes,TRUE
Namakwa Sands,South Africa,Ilmenite,Open-Pit,Producer,smelted,Proven Reserves,263350,32.03,%,251e3,tons,350000,tons,45,1994,2039,Exxaro Resources Limited,NA,high,Self-supply --> Grid supply,"Co-generation, On-Grid",4100,1435000,149.48,Sole Ownership by a private company,"(-31.2833333, 17.9)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The construction of the 14MW co-generation power plant at Namakwa Sands commenced in the second quarter of 2012 (CW). The power plant would generate electricity from waste gas at the Namakwa Sands operation and the project would be funded from the group’s balance sheet. Phase 2 construction taken  in 1997 at investment of R1.2BN (exchange rate December 31, 2007:  4.8630 ZAR/USD). Energy consumption includes the titanium smelter at saldanha bay","Infomine, Mining Weekly, USGS, http://www.saimm.co.za/Conferences/HMC2009/009-016_Rosendaal.pdf",Yes,Yes,Yes,TRUE
Nkomati,South Africa,Chromium,Open-Pit/Underground,Producer,smelted,Indicated Reserves,2000,31.63,%,816e3,tons,720000,tons,5,2007,2012,"African Rainbow Minerals Limited (50%), Norilsk Nickel Mining And Metallurgical (50%)",NA,closed by 2020,Grid supply,On-Grid,4640,3340800,348,Join-venture with only private interests,"(-25.7166667, 30.6)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,The next phase of the Eskom power supply project is the upgrade of the 132kV overhead distribution lines and we anticipate this to be completed by December 2011. Nkomati’s Eskom Electricity Supply Agreement was concluded in December 2010,"Infomine, Company Website",No,Yes,No,TRUE
Nkomati,South Africa,Platinum,Open-Pit/Underground,Producer,refined,Proved & Probable Resources,129510,0.87,grams,248e3,grams,350000,ounce,5,2007,2012,"African Rainbow Minerals Limited (50%), Norilsk Nickel Mining And Metallurgical (50%)",NA,closed by 2020,Grid supply,On-Grid,69489780,689500,71.82,Join-venture with only private interests,"(-25.7166667, 30.6)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,The next phase of the Eskom power supply project is the upgrade of the 132kV overhead distribution lines and we anticipate this to be completed by December 2011. Nkomati’s Eskom Electricity Supply Agreement was concluded in December 2010,"Infomine, Company Website, http://thenetworks.co.za/2012/07/strike-looms-at-arm-nickel-mine-as-num-declares-dispute/",No,Yes,No,TRUE
Palabora Mine,South Africa,Nickel from N-C Sulphide,Open-Pit/Underground,Producer,refined,None,NA,NA,NA,95e3,tons,95000,tons,20,2004,2024,"Rio Tinto (58%), Anglo American (29%)",465,high,Grid supply,On-Grid,3350,318250,33.15,Join-venture with only private interests,"(-23.9833333, 31.1333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,IM,NA,NA,No,Yes,Yes,TRUE
Palabora Mine,South Africa,Copper,Open-Pit/Underground,Producer,refined,Proven and Probable Reserves,75000,0.6,%,36e3,tons,143000,tons,20,2004,2024,"Rio Tinto (58%), Anglo American (29%)",465,high,Grid supply,On-Grid,8650,1236950,128.85,Join-venture with only private interests,"(-23.9833333, 31.1333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,IM,NA,NA,No,Yes,Yes,TRUE
Pering  (Struisbult Springs Zinc),South Africa,Lead,Surface,closed,intermediate,Probable Reserve,3890,0.43,%,4e4,tons,5500,tons,19,1984,2003,Pering Mine  (Pty) Ltd. (Billiton),123,closed,Grid supply,On-Grid,855,4703,0.49,Sole Ownership by a private company,"(-27.45, 24.7666667)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,USGS,"First run was 1984-2000. The company announced that it would be closing the mine as the economically mineable reserve became depleted. Currently exploring the feasibility of reopening mine. A power line, running adjacent to the west boundary of the mining area is connected to the national power grid from Eskom","Infomine, Mining Weekly, Company Website, VANWOUW.CO.ZA",Yes,Yes,No,TRUE
