<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
 ,Actual,Average mill head grade (Au grams/tonne),6/30/13,2.32,Porcupine,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.94,Porcupine,2013
 ,Actual,Gold (ounces) produced,6/30/13,69800,Porcupine,2013
 ,Actual,Gold (ounces) sold,6/30/13,70600,Porcupine,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1176,Porcupine,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,782,Porcupine,2013
$,Actual,Mining cost per tonne,6/30/13,112.14,Porcupine,2013
$,Actual,Milling cost per tonne,6/30/13,9.96,Porcupine,2013
$,Million,Revenues (millions),6/30/13,98,Porcupine,2013
$,Million,Depreciation and depletion (millions),6/30/13,15,Porcupine,2013
$,Million,Earnings from operations (millions),6/30/13,26,Porcupine,2013
$,Million,Expenditures on mining interests (millions),6/30/13,27,Porcupine,2013
 ,Actual,Tonnes of ore milled,6/30/13,356500,Musselwhite,2013
 ,Actual,Average mill head grade (Au grams/tonne),6/30/13,5.6,Musselwhite,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.96,Musselwhite,2013
 ,Actual,Gold (ounces) produced,6/30/13,62800,Musselwhite,2013
 ,Actual,Gold (ounces) sold,6/30/13,63300,Musselwhite,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1214,Musselwhite,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,786,Musselwhite,2013
$,Actual,Mining cost per tonne,6/30/13,71.85,Musselwhite,2013
$,Actual,Milling cost per tonne,6/30/13,12.65,Musselwhite,2013
$,Million,Revenues (millions),6/30/13,89,Musselwhite,2013
$,Million,Depreciation and depletion (millions),6/30/13,13,Musselwhite,2013
$,Million,Earnings from operations (millions),6/30/13,23,Musselwhite,2013
$,Million,Expenditures on mining interests (millions),6/30/13,23,Musselwhite,2013
 ,Actual,Tonnes of ore mined,6/30/13,14181300,Penasquito,2013
 ,Actual,Tonnes of waste removed,6/30/13,30770200,Penasquito,2013
 ,Actual,Average head grade (Au grams/tonne),6/30/13,0.43,Penasquito,2013
 ,Actual,Average head grade (Ag grams/tonne),6/30/13,22.51,Penasquito,2013
 ,Actual,Average head grade (Pb%),6/30/13,0.0025,Penasquito,2013
 ,Actual,Average head grade (Zn%),6/30/13,0.0054,Penasquito,2013
 ,Actual,Sulphide Ore - Tonnes of ore milled,6/30/13,9600800,Penasquito,2013
 ,Actual,Gold average recovery rate (%),6/30/13,0.63,Penasquito Sulphide,2013
 ,Actual,Silver average recovery rate (%),6/30/13,0.77,Penasquito Sulphide,2013
 ,Actual,Lead average recovery rate (%),6/30/13,0.72,Penasquito Sulphide,2013
 ,Actual,Zinc average recovery rate (%),6/30/13,0.72,Penasquito Sulphide,2013
 ,Actual,Gold (ounces) produced,6/30/13,88100,Penasquito,2013
 ,Actual,Silver (ounces) produced,6/30/13,5195200,Penasquito,2013
 ,Thousand,Lead (thousands of pounds) produced,6/30/13,35400,Penasquito,2013
 ,Thousand,Zinc (thousands of pounds) produced,6/30/13,70100,Penasquito,2013
 ,Actual,Gold (ounces) sold,6/30/13,79600,Penasquito,2013
 ,Actual,Silver (ounces) sold,6/30/13,5067000,Penasquito,2013
 ,Thousand,Lead (thousands of pounds) sold,6/30/13,36800,Penasquito,2013
 ,Thousand,Zinc (thousands of pounds) sold,6/30/13,61800,Penasquito,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1484,Penasquito,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,920,Penasquito,2013
$,Actual,Mining cost per tonne,6/30/13,2.36,Penasquito,2013
$,Actual,Milling cost per tonne,6/30/13,7.89,Penasquito,2013
$,Actual,General admistrative cost per tonne,6/30/13,2.84,Penasquito,2013
$,Million,Revenues (millions),6/30/13,232,Penasquito,2013
$,Million,Depreciation and depletion (millions),6/30/13,42,Penasquito,2013
$,Million,Earnings (Loss) from operations (millions),6/30/13,-2455,Penasquito,2013
$,Million,Expenditures on mining interests (millions),6/30/13,61,Penasquito,2013
 ,Actual,Tonnes of ore mined,6/30/13,6526600,Los Filos,2013
 ,Actual,Tonnes of waste removed,6/30/13,11468200,Los Filos,2013
 ,Actual,Ratio of waste to ore,6/30/13,1.8,Los Filos,2013
 ,Actual,Tonnes of ore processed,6/30/13,6572700,Los Filos,2013
 ,Actual,Average grade processed (Au grams/tonne),6/30/13,0.7,Los Filos,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.49,Los Filos,2013
 ,Actual,Gold (ounces) produced,6/30/13,83500,Los Filos,2013
 ,Actual,Gold (ounces) sold,6/30/13,85100,Los Filos,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1217,Los Filos,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,624,Los Filos,2013
$,Actual,Open-pit mining cost per tonne,6/30/13,1.74,Los Filos,2013
$,Actual,Processing cost per tonne leached,6/30/13,2.74,Los Filos,2013
$,Million,Revenues (millions),6/30/13,118,Los Filos,2013
$,Million,Depreciation and depletion (millions),6/30/13,17,Los Filos,2013
$,Million,Earnings from operations (millions),6/30/13,47,Los Filos,2013
$,Million,Expenditures on mining interests (millions),6/30/13,44,Los Filos,2013
 ,Actual,Tonnes of ore milled,6/30/13,472100,Marlin,2013
 ,Actual,Average mill head grade (Au grams/tonne),6/30/13,3.44,Marlin,2013
 ,Actual,Average mill head grade (Ag grams/tonne),6/30/13,127,Marlin,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.96,Marlin,2013
 ,Actual,Average silver recovery rate %,6/30/13,0.92,Marlin,2013
 ,Actual,Gold (ounces) produced,6/30/13,50000,Marlin,2013
 ,Actual,Silver (ounces) produced,6/30/13,1778000,Marlin,2013
 ,Actual,Gold (ounces) sold,6/30/13,50000,Marlin,2013
 ,Actual,Silver (ounces) sold,6/30/13,1803000,Marlin,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,729,Marlin,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,260,Marlin,2013
$,Actual,Mining cost per tonne,6/30/13,62.1,Marlin,2013
$,Actual,Milling cost per tonne,6/30/13,30.62,Marlin,2013
$,Million,Revenues (millions),6/30/13,105,Marlin,2013
$,Million,Depreciation and depletion (millions),6/30/13,35,Marlin,2013
$,Million,Earnings from operations (millions),6/30/13,17,Marlin,2013
$,Million,Expenditures on mining interests (millions),6/30/13,17,Marlin,2013
 ,Actual,Tonnes of ore mined,6/30/13,1844400,Alumbrera,2013
 ,Actual,Tonnes of waste removed,6/30/13,5871700,Alumbrera,2013
 ,Actual,Ratio of waste to ore,6/30/13,3.2,Alumbrera,2013
 ,Actual,Tonnes of ore milled,6/30/13,3561700,Alumbrera,2013
 ,Actual,Average mill head grade (Au grams/tonne),6/30/13,0.38,Alumbrera,2013
 ,Actual,Average mill head grade (Copper %),6/30/13,0.0037,Alumbrera,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.69,Alumbrera,2013
 ,Actual,Average copper recovery rate %,6/30/13,0.77,Alumbrera,2013
 ,Actual,Gold (ounces) produced,6/30/13,29900,Alumbrera,2013
 ,Thousand,Copper (thousands of pounds) produced,6/30/13,21600,Alumbrera,2013
 ,Actual,Gold (ounces) sold,6/30/13,24200,Alumbrera,2013
 ,Thousand,Copper (thousands of pounds) sold,6/30/13,19400,Alumbrera,2013
$,Actual,All-in sustaining costs (per gold ounce),6/30/13,1140,Alumbrera,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,299,Alumbrera,2013
$,Actual,Mining cost per tonne,6/30/13,3.17,Alumbrera,2013
$,Actual,Milling cost per tonne,6/30/13,6.7,Alumbrera,2013
$,Million,Revenues (millions),6/30/13,81,Alumbrera,2013
$,Million,Depreciation and depletion (millions),6/30/13,16,Alumbrera,2013
$,Million,Earnings from operations (millions),6/30/13,3,Alumbrera,2013
$,Million,Expenditures on mining interests (millions),6/30/13,20,Alumbrera,2013
 ,Actual,Tonnes of ore mined,6/30/13,943700,Pueblo Viejo,2013
 ,Actual,Tonnes of waste removed,6/30/13,134400,Pueblo Viejo,2013
 ,Actual,Tonnes of ore processed,6/30/13,443400,Pueblo Viejo,2013
 ,Actual,Average grade - gold,6/30/13,6.02,Pueblo Viejo,2013
 ,Actual,Average gold recovey rate %,6/30/13,0.94,Pueblo Viejo,2013
 ,Actual,Gold (ounces) produced,6/30/13,81000,Pueblo Viejo,2013
 ,Actual,Gold (ounces) sold,6/30/13,71700,Pueblo Viejo,2013
$,Actual,All-in sustaining costs (per gold ounce),6/30/13,739,Pueblo Viejo,2013
$,Actual,By-product cash cost (per gold ounce),6/30/13,507,Pueblo Viejo,2013
$,Actual,Mining cost per tonne,6/30/13,4.79,Pueblo Viejo,2013
$,Actual,Milling cost per tonne,6/30/13,63.98,Pueblo Viejo,2013
$,Million,Revenues,6/30/13,105,Pueblo Viejo,2013
$,Million,Depreciation and depletion,6/30/13,11,Pueblo Viejo,2013
$,Million,Earnings (loss) from operations,6/30/13,52,Pueblo Viejo,2013
$,Million,Expenditures on mining interests,6/30/13,42,Pueblo Viejo,2013
 ,Actual,Tonnes of ore mined,6/30/13,2928000,Marigold,2013
 ,Actual,Tonnes of waste removed,6/30/13,5409400,Marigold,2013
 ,Actual,Tonnes of ore processed,6/30/13,2928000,Marigold,2013
 ,Actual,Average grade processed (Au grams/tonne),6/30/13,0.34,Marigold,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.73,Marigold,2013
 ,Actual,Gold (ounces) produced,6/30/13,22500,Marigold,2013
 ,Actual,Gold (ounces) sold,6/30/13,22700,Marigold,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1829,Marigold,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,901,Marigold,2013
$,Million,Revenues (millions),6/30/13,31,Marigold,2013
$,Million,Depreciation and depletion (millions),6/30/13,4,Marigold,2013
$,Million,Earnings from operations (millions),6/30/13,6,Marigold,2013
$,Million,Expenditures on mining interests (millions),6/30/13,20,Marigold,2013
 ,Actual,Tonnes of ore mined,6/30/13,556000,El Sauzal,2013
 ,Actual,Tonnes of waste removed,6/30/13,3030400,El Sauzal,2013
 ,Actual,Tonnes of ore processed,6/30/13,485500,El Sauzal,2013
 ,Actual,Average mill head grade (Au grams/tonne),6/30/13,1.35,El Sauzal,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.93,El Sauzal,2013
 ,Actual,Gold (ounces) produced,6/30/13,19700,El Sauzal,2013
 ,Actual,Gold (ounces) sold,6/30/13,22100,El Sauzal,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,950,El Sauzal,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,890,El Sauzal,2013
$,Actual,Mining cost per tonne,6/30/13,1.99,El Sauzal,2013
$,Actual,Milling cost per tonne,6/30/13,13.11,El Sauzal,2013
$,Million,Revenues (millions),6/30/13,30,El Sauzal,2013
$,Million,Depreciation and depletion (millions),6/30/13,9,El Sauzal,2013
$,Million,Earnings from operations (millions),6/30/13,0,El Sauzal,2013
$,Million,Expenditures on mining interests (millions),6/30/13,0,El Sauzal,2013
 ,Actual,Tonnes of ore mined,6/30/13,656200,Wharf,2013
 ,Actual,Tonnes of ore processed,6/30/13,831300,Wharf,2013
 ,Actual,Average grade processed (Au grams/tonne),6/30/13,0.64,Wharf,2013
 ,Actual,Average gold recovery rate %,6/30/13,0.81,Wharf,2013
 ,Actual,Gold (ounces) produced,6/30/13,16200,Wharf,2013
 ,Actual,Gold (ounces) sold,6/30/13,15500,Wharf,2013
$,Actual,All-in sustaining costs (per ounce),6/30/13,1076,Wharf,2013
$,Actual,By-product cash costs (per gold ounce),6/30/13,808,Wharf,2013
$,Actual,Mining cost per tonne,6/30/13,4.04,Wharf,2013
$,Actual,Processing cost per tonne,6/30/13,1.6,Wharf,2013
$,Million,Revenues (millions),6/30/13,22,Wharf,2013
$,Million,Depreciation and depletion (millions),6/30/13,1,Wharf,2013
$,Million,Earnings from operations (millions),6/30/13,8,Wharf,2013
$,Million,Expenditures on mining interests (millions),6/30/13,5,Wharf,2013
 ,Actual,Gold (ounces) produced,9/30/13,595200,Total,2013
 ,Actual,Silver (ounces) produced,9/30/13,7744600,Total,2013
 ,Thousand,Copper (thousands of pounds) produced,9/30/13,21400,Total,2013
 ,Thousand,Lead (thousands of pounds) produced,9/30/13,41000,Total,2013
 ,Thousand,Zinc (thousands of pounds) produced,9/30/13,76300,Total,2013
 ,Actual,Gold (ounces) sold,9/30/13,608500,Total,2013
$,Actual,Average realized gold price (per ounce),9/30/13,1341,Total,2013
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),9/30/13,969,Total,2013
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/13,523,Total,2013
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/13,688,Total,2013
$,Million,Revenues (Adjusted),9/30/13,1126,Total,2013
$,Million,Revenues (GAAP),9/30/13,871,Total,2013
$,Million,Net (Loss) Earnings,9/30/13,5,Total,2013
 ,Actual,Tonnes of ore mined,9/30/13,204200,Red Lake,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,15.11,Red Lake,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.95,Red Lake,2013
 ,Actual,Gold (ounces) produced,9/30/13,97000,Red Lake,2013
 ,Actual,Gold (ounces) sold,9/30/13,111300,Red Lake,2013
$,Actual,All-in sustaining costs (per gold ounce),9/30/13,986,Red Lake,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,640,Red Lake,2013
$,Actual,Mining cost per tonne,9/30/13,216.72,Red Lake,2013
$,Actual,Milling cost per tonne,9/30/13,42.52,Red Lake,2013
$,Million,Revenues (millions),9/30/13,148,Red Lake,2013
$,Million,Depreciation and depletion (millions),9/30/13,26,Red Lake,2013
$,Million,Earnings from operations (millions),9/30/13,49,Red Lake,2013
$,Million,Expenditures on mining interests (millions),9/30/13,55,Red Lake,2013
 ,Actual,Tonnes of ore milled,9/30/13,1123600,Porcupine,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,2.26,Porcupine,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.94,Porcupine,2013
 ,Actual,Gold (ounces) produced,9/30/13,76000,Porcupine,2013
 ,Actual,Gold (ounces) sold,9/30/13,73200,Porcupine,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,921,Porcupine,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,637,Porcupine,2013
$,Actual,Mining cost per tonne,9/30/13,115.16,Porcupine,2013
$,Actual,Milling cost per tonne,9/30/13,7.82,Porcupine,2013
$,Million,Revenues (millions),9/30/13,98,Porcupine,2013
$,Million,Depreciation and depletion (millions),9/30/13,13,Porcupine,2013
$,Million,Earnings from operations (millions),9/30/13,40,Porcupine,2013
$,Million,Expenditures on mining interests (millions),9/30/13,21,Porcupine,2013
 ,Actual,Tonnes of ore milled,9/30/13,364500,Musselwhite,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,5.37,Musselwhite,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.96,Musselwhite,2013
 ,Actual,Gold (ounces) produced,9/30/13,59800,Musselwhite,2013
 ,Actual,Gold (ounces) sold,9/30/13,56800,Musselwhite,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,1114,Musselwhite,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,768,Musselwhite,2013
$,Actual,Mining cost per tonne,9/30/13,76.15,Musselwhite,2013
$,Actual,Milling cost per tonne,9/30/13,13.7,Musselwhite,2013
$,Million,Revenues (millions),9/30/13,75,Musselwhite,2013
$,Million,Depreciation and depletion (millions),9/30/13,12,Musselwhite,2013
$,Million,Earnings from operations (millions),9/30/13,19,Musselwhite,2013
$,Million,Expenditures on mining interests (millions),9/30/13,19,Musselwhite,2013
 ,Actual,Tonnes of ore mined,9/30/13,19818000,Penasquito,2013
 ,Actual,Tonnes of waste removed,9/30/13,24968400,Penasquito,2013
 ,Actual,Average head grade (Au grams/tonne),9/30/13,0.5,Penasquito,2013
 ,Actual,Average head grade (Ag grams/tonne),9/30/13,24.08,Penasquito,2013
 ,Actual,Average head grade (Pb%),9/30/13,0.0027,Penasquito,2013
 ,Actual,Average head grade (Zn%),9/30/13,0.0055,Penasquito,2013
 ,Actual,Sulphide Ore - Tonnes of ore milled,9/30/13,10115100,Penasquito,2013
 ,Actual,Gold average recovery rate (%),9/30/13,0.66,Penasquito Sulphide,2013
 ,Actual,Silver average recovery rate (%),9/30/13,0.78,Penasquito Sulphide,2013
 ,Actual,Lead average recovery rate (%),9/30/13,0.72,Penasquito Sulphide,2013
 ,Actual,Zinc average recovery rate (%),9/30/13,0.74,Penasquito Sulphide,2013
 ,Actual,Gold (ounces) produced,9/30/13,113900,Penasquito,2013
 ,Actual,Silver (ounces) produced,9/30/13,5892600,Penasquito,2013
 ,Thousand,Lead (thousands of pounds) produced,9/30/13,41000,Penasquito,2013
 ,Thousand,Zinc (thousands of pounds) produced,9/30/13,76300,Penasquito,2013
 ,Actual,Gold (ounces) sold,9/30/13,106600,Penasquito,2013
 ,Actual,Silver (ounces) sold,9/30/13,6056300,Penasquito,2013
 ,Thousand,Lead (thousands of pounds) sold,9/30/13,40800,Penasquito,2013
 ,Thousand,Zinc (thousands of pounds) sold,9/30/13,66800,Penasquito,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,830,Penasquito,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,403,Penasquito,2013
$,Actual,Mining cost per tonne,9/30/13,2.18,Penasquito,2013
$,Actual,Milling cost per tonne,9/30/13,7.41,Penasquito,2013
$,Actual,General admistrative cost per tonne,9/30/13,2.18,Penasquito,2013
$,Million,Revenues (millions),9/30/13,315,Penasquito,2013
$,Million,Depreciation and depletion (millions),9/30/13,41,Penasquito,2013
$,Million,Earnings (Loss) from operations (millions),9/30/13,55,Penasquito,2013
$,Million,Expenditures on mining interests (millions),9/30/13,56,Penasquito,2013
 ,Actual,Tonnes of ore mined,9/30/13,6805300,Los Filos,2013
 ,Actual,Tonnes of waste removed,9/30/13,11626000,Los Filos,2013
 ,Actual,Ratio of waste to ore,9/30/13,1.7,Los Filos,2013
 ,Actual,Tonnes of ore processed,9/30/13,6753400,Los Filos,2013
 ,Actual,Average grade processed (Au grams/tonne),9/30/13,0.67,Los Filos,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.49,Los Filos,2013
 ,Actual,Gold (ounces) produced,9/30/13,73400,Los Filos,2013
 ,Actual,Gold (ounces) sold,9/30/13,73600,Los Filos,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,891,Los Filos,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,640,Los Filos,2013
$,Actual,Open-pit mining cost per tonne,9/30/13,1.77,Los Filos,2013
$,Actual,Processing cost per tonne leached,9/30/13,2.31,Los Filos,2013
$,Million,Revenues (millions),9/30/13,98,Los Filos,2013
$,Million,Depreciation and depletion (millions),9/30/13,13,Los Filos,2013
$,Million,Earnings from operations (millions),9/30/13,37,Los Filos,2013
$,Million,Expenditures on mining interests (millions),9/30/13,13,Los Filos,2013
 ,Actual,Tonnes of ore milled,9/30/13,497800,Marlin,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,3.24,Marlin,2013
 ,Actual,Average mill head grade (Ag grams/tonne),9/30/13,118,Marlin,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.96,Marlin,2013
 ,Actual,Average silver recovery rate %,9/30/13,0.92,Marlin,2013
 ,Actual,Gold (ounces) produced,9/30/13,49400,Marlin,2013
 ,Actual,Silver (ounces) produced,9/30/13,1715000,Marlin,2013
 ,Actual,Gold (ounces) sold,9/30/13,51200,Marlin,2013
 ,Actual,Silver (ounces) sold,9/30/13,1779200,Marlin,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,635,Marlin,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,259,Marlin,2013
$,Actual,Mining cost per tonne,9/30/13,65.96,Marlin,2013
$,Actual,Milling cost per tonne,9/30/13,25.47,Marlin,2013
$,Million,Revenues (millions),9/30/13,107,Marlin,2013
$,Million,Depreciation and depletion (millions),9/30/13,37,Marlin,2013
$,Million,Earnings from operations (millions),9/30/13,18,Marlin,2013
$,Million,Expenditures on mining interests (millions),9/30/13,15,Marlin,2013
 ,Actual,Tonnes of ore mined,9/30/13,2420700,Alumbrera,2013
 ,Actual,Tonnes of waste removed,9/30/13,4847400,Alumbrera,2013
 ,Actual,Ratio of waste to ore,9/30/13,2,Alumbrera,2013
 ,Actual,Tonnes of ore milled,9/30/13,3304300,Alumbrera,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,0.37,Alumbrera,2013
 ,Actual,Average mill head grade (Copper %),9/30/13,0.0037,Alumbrera,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.74,Alumbrera,2013
 ,Actual,Average copper recovery rate %,9/30/13,0.81,Alumbrera,2013
 ,Actual,Gold (ounces) produced,9/30/13,28900,Alumbrera,2013
 ,Thousand,Copper (thousands of pounds) produced,9/30/13,21400,Alumbrera,2013
 ,Actual,Gold (ounces) sold,9/30/13,32000,Alumbrera,2013
 ,Thousand,Copper (thousands of pounds) sold,9/30/13,21800,Alumbrera,2013
$,Actual,All-in sustaining costs (per gold ounce),9/30/13,307,Alumbrera,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,-281,Alumbrera,2013
$,Actual,Mining cost per tonne,9/30/13,3.17,Alumbrera,2013
$,Actual,Milling cost per tonne,9/30/13,6.77,Alumbrera,2013
$,Million,Revenues (millions),9/30/13,119,Alumbrera,2013
$,Million,Depreciation and depletion (millions),9/30/13,28,Alumbrera,2013
$,Million,Earnings from operations (millions),9/30/13,25,Alumbrera,2013
$,Million,Expenditures on mining interests (millions),9/30/13,20,Alumbrera,2013
 ,Actual,Tonnes of ore mined,9/30/13,672200,Pueblo Viejo,2013
 ,Actual,Tonnes of waste removed,9/30/13,186900,Pueblo Viejo,2013
 ,Actual,Tonnes of ore processed,9/30/13,407200,Pueblo Viejo,2013
 ,Actual,Average grade - gold,9/30/13,6.23,Pueblo Viejo,2013
 ,Actual,Average gold recovey rate %,9/30/13,0.92,Pueblo Viejo,2013
 ,Actual,Gold (ounces) produced,9/30/13,75400,Pueblo Viejo,2013
 ,Actual,Gold (ounces) sold,9/30/13,82000,Pueblo Viejo,2013
$,Actual,All-in sustaining costs (per gold ounce),9/30/13,690,Pueblo Viejo,2013
$,Actual,By-product cash cost (per gold ounce),9/30/13,553,Pueblo Viejo,2013
$,Actual,Mining cost per tonne,9/30/13,7.01,Pueblo Viejo,2013
$,Actual,Milling cost per tonne,9/30/13,90.33,Pueblo Viejo,2013
$,Million,Revenues,9/30/13,112,Pueblo Viejo,2013
$,Million,Depreciation and depletion,9/30/13,16,Pueblo Viejo,2013
$,Million,Earnings (loss) from operations,9/30/13,46,Pueblo Viejo,2013
$,Million,Expenditures on mining interests,9/30/13,9,Pueblo Viejo,2013
 ,Actual,Tonnes of ore mined,9/30/13,3114800,Marigold,2013
 ,Actual,Tonnes of waste removed,9/30/13,6349000,Marigold,2013
 ,Actual,Tonnes of ore processed,9/30/13,3114800,Marigold,2013
 ,Actual,Average grade processed (Au grams/tonne),9/30/13,0.36,Marigold,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.73,Marigold,2013
 ,Actual,Gold (ounces) produced,9/30/13,25200,Marigold,2013
 ,Actual,Gold (ounces) sold,9/30/13,25400,Marigold,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,1476,Marigold,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,938,Marigold,2013
$,Million,Revenues (millions),9/30/13,34,Marigold,2013
$,Million,Depreciation and depletion (millions),9/30/13,5,Marigold,2013
$,Million,Earnings from operations (millions),9/30/13,6,Marigold,2013
$,Million,Expenditures on mining interests (millions),9/30/13,13,Marigold,2013
 ,Actual,Tonnes of ore mined,9/30/13,587300,El Sauzal,2013
 ,Actual,Tonnes of waste removed,9/30/13,3121900,El Sauzal,2013
 ,Actual,Tonnes of ore processed,9/30/13,504500,El Sauzal,2013
 ,Actual,Average mill head grade (Au grams/tonne),9/30/13,1.4,El Sauzal,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.94,El Sauzal,2013
 ,Actual,Gold (ounces) produced,9/30/13,21400,El Sauzal,2013
 ,Actual,Gold (ounces) sold,9/30/13,21800,El Sauzal,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,831,El Sauzal,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,751,El Sauzal,2013
$,Actual,Mining cost per tonne,9/30/13,1.77,El Sauzal,2013
$,Actual,Milling cost per tonne,9/30/13,11.98,El Sauzal,2013
$,Million,Revenues (millions),9/30/13,30,El Sauzal,2013
$,Million,Depreciation and depletion (millions),9/30/13,9,El Sauzal,2013
$,Million,Earnings from operations (millions),9/30/13,2,El Sauzal,2013
$,Million,Expenditures on mining interests (millions),9/30/13,0,El Sauzal,2013
 ,Actual,Tonnes of ore mined,9/30/13,166800,Wharf,2013
 ,Actual,Tonnes of ore processed,9/30/13,996900,Wharf,2013
 ,Actual,Average grade processed (Au grams/tonne),9/30/13,0.63,Wharf,2013
 ,Actual,Average gold recovery rate %,9/30/13,0.8,Wharf,2013
 ,Actual,Gold (ounces) produced,9/30/13,16700,Wharf,2013
 ,Actual,Gold (ounces) sold,9/30/13,18200,Wharf,2013
$,Actual,All-in sustaining costs (per ounce),9/30/13,1204,Wharf,2013
$,Actual,By-product cash costs (per gold ounce),9/30/13,980,Wharf,2013
$,Actual,Mining cost per tonne,9/30/13,4.08,Wharf,2013
$,Actual,Processing cost per tonne,9/30/13,1.56,Wharf,2013
$,Million,Revenues (millions),9/30/13,24,Wharf,2013
$,Million,Depreciation and depletion (millions),9/30/13,1,Wharf,2013
$,Million,Earnings from operations (millions),9/30/13,5,Wharf,2013
$,Million,Expenditures on mining interests (millions),9/30/13,4,Wharf,2013
 ,Actual,Gold (ounces) produced,12/31/13,730000,Total,2013
 ,Actual,Silver (ounces) produced,12/31/13,9768100,Total,2013
 ,Thousand,Copper (thousands of pounds) produced,12/31/13,28800,Total,2013
 ,Thousand,Lead (thousands of pounds) produced,12/31/13,53600,Total,2013
 ,Thousand,Zinc (thousands of pounds) produced,12/31/13,80900,Total,2013
 ,Actual,Gold (ounces) sold,12/31/13,687200,Total,2013
$,Actual,Average realized gold price (per ounce),12/31/13,1254,Total,2013
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),12/31/13,784,Total,2013
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),12/31/13,437,Total,2013
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),12/31/13,625,Total,2013
$,Million,Revenues (Adjusted),12/31/13,1154,Total,2013
$,Million,Revenues (GAAP),12/31/13,956,Total,2013
$,Million,Net (Loss) Earnings,12/31/13,-1089,Total,2013
 ,Actual,Tonnes of ore mined,12/31/13,189700,Red Lake,2013
 ,Actual,Average mill head grade (Au grams/tonne),12/31/13,22.65,Red Lake,2013
 ,Actual,Average gold recovery rate %,12/31/13,0.95,Red Lake,2013
 ,Actual,Gold (ounces) produced,12/31/13,128000,Red Lake,2013
 ,Actual,Gold (ounces) sold,12/31/13,121400,Red Lake,2013
$,Actual,All-in sustaining costs (per gold ounce),12/31/13,822,Red Lake,2013
$,Actual,By-product cash costs (per gold ounce),12/31/13,500,Red Lake,2013
$,Actual,Mining cost per tonne,12/31/13,211.41,Red Lake,2013
$,Actual,Milling cost per tonne,12/31/13,47.51,Red Lake,2013
$,Million,Revenues (millions),12/31/13,151,Red Lake,2013
